Year, FinancialReturn 
2019, 0.015 
2020, 0.020 
2021, 0.025 
2022, 0.030 
2023, 0.030 
2024, 0.030 
2025, 0.030 
2026, 0.030 
2027, 0.030 
2028, 0.030 
2029, 0.030 
2030, 0.030 
2031, 0.030 
2032, 0.030 
2033, 0.030 
2034, 0.030 
2035, 0.030 
2036, 0.030 
2037, 0.030 
2038, 0.030 
2039, 0.030 
2040, 0.030 
2041, 0.030 
2042, 0.030 
2043, 0.030 
2044, 0.030 
2045, 0.030 
2046, 0.030 
2047, 0.030 
2048, 0.030 
2049, 0.030 
2050, 0.030 
2051, 0.030 
2052, 0.030 
2053, 0.030 
2054, 0.030 
2055, 0.030 
2056, 0.030 
2057, 0.030 
2058, 0.030 
2059, 0.030 
2060, 0.030 
2061, 0.030 
2062, 0.030 
2063, 0.030 
2064, 0.030 
2065, 0.030 
2066, 0.030 
2067, 0.030 
2068, 0.030 
2069, 0.030 
2070, 0.030 
2071, 0.030 
2072, 0.030 
2073, 0.030 
2074, 0.030 
2075, 0.030 
2076, 0.030 
2077, 0.030 
2078, 0.030 
2079, 0.030 
2080, 0.030 
2081, 0.030 
2082, 0.030 
2083, 0.030 
2084, 0.030 
2085, 0.030 
2086, 0.030 
2087, 0.030 
2088, 0.030 
2089, 0.030 
2090, 0.030 
2091, 0.030 
2092, 0.030 
2093, 0.030 
2094, 0.030 
2095, 0.030 
2096, 0.030 
2097, 0.030 
2098, 0.030 
2099, 0.030 
2100, 0.030 
2101, 0.030 
2102, 0.030 
2103, 0.030 
2104, 0.030 
2105, 0.030 
2106, 0.030 
2107, 0.030 
2108, 0.030 
2109, 0.030 
2110, 0.030 
2111, 0.030 
2112, 0.030 
2113, 0.030 
2114, 0.030 
2115, 0.030 
2116, 0.030 
2117, 0.030 
2118, 0.030 
2119, 0.030 
2120, 0.030 
2121, 0.030 
2122, 0.030 
2123, 0.030 
2124, 0.030 
2125, 0.030 
2126, 0.030 
2127, 0.030 
2128, 0.030 
2129, 0.030 
