, Qx 
1, 0.000400 
2, 0.000300 
3, 0.000200 
4, 0.000200 
5, 0.000200 
6, 0.000100 
7, 0.000100 
8, 0.000100 
9, 0.000100 
10, 0.000100 
11, 0.000100 
12, 0.000200 
13, 0.000200 
14, 0.000300 
15, 0.000400 
16, 0.000500 
17, 0.000700 
18, 0.000800 
19, 0.000900 
20, 0.001000 
21, 0.001100 
22, 0.001100 
23, 0.001000 
24, 0.001000 
25, 0.001000 
26, 0.001100 
27, 0.001100 
28, 0.001100 
29, 0.001100 
30, 0.001200 
31, 0.001200 
32, 0.001200 
33, 0.001300 
34, 0.001400 
35, 0.001500 
36, 0.001700 
37, 0.001800 
38, 0.002000 
39, 0.002100 
40, 0.002400 
41, 0.002600 
42, 0.002900 
43, 0.003300 
44, 0.003600 
45, 0.004000 
46, 0.004300 
47, 0.004700 
48, 0.005100 
49, 0.005400 
50, 0.005800 
51, 0.006200 
52, 0.006700 
53, 0.007200 
54, 0.007700 
55, 0.008200 
56, 0.008700 
57, 0.009300 
58, 0.010000 
59, 0.010700 
60, 0.011500 
61, 0.012300 
62, 0.013400 
63, 0.014500 
64, 0.015800 
65, 0.017200 
66, 0.018800 
67, 0.020500 
68, 0.022300 
69, 0.024300 
70, 0.026600 
71, 0.029000 
72, 0.031700 
73, 0.034500 
74, 0.037700 
75, 0.041200 
76, 0.045100 
77, 0.049400 
78, 0.054300 
79, 0.059900 
80, 0.066600 
81, 0.074300 
82, 0.083000 
83, 0.092500 
84, 0.102600 
85, 0.113500 
86, 0.125300 
87, 0.138000 
88, 0.151600 
89, 0.165800 
90, 0.180600 
91, 0.196300 
92, 0.212900 
93, 0.230600 
94, 0.249300 
95, 0.269000 
96, 0.289600 
97, 0.311200 
98, 0.333800 
99, 0.357600 
100, 0.381600 
101, 0.404900 
102, 0.430300 
103, 0.460400 
104, 0.480000 
105, 0.512800 
106, 0.526300 
107, 0.555600 
108, 0.500000 
109, 0.500000 
110, 1.000000 
