"X","MP_Euro","Year_Birth","Comm_MP_Euro","Comm_MP_UL","Manag_Fees","Profit_Sharing","Cost_Asset_manag","Cost_retro","MP_UL","Cluster_KMEAN_6","Cluster_HAC_Ward_6","Cluster_HAC_Min_6","Cluster_KMEAN_20","Cluster_HAC_Ward_20","Cluster_HAC_Min_20","Cluster_KMEAN_40","Cluster_HAC_Ward_40","Cluster_HAC_Min_40","Cluster_KMEAN_250","Cluster_HAC_Ward_250","Cluster_HAC_Min_250"
97,472,1956,0.1,0.3754,0.51376,90,0.417096771,0.209665657,0,5,1,1,20,1,1,5,1,1,194,1,1
104,0,1943,0.05,0.475408,0.555378667,99.9997251,0.278221147,0.155592765,88,6,2,1,6,2,1,24,2,1,249,2,2
105,0,1944,0.05,0.175,0.521666667,99.9997251,0.385535472,0.189150813,2036,6,2,1,19,3,1,31,3,1,71,3,3
106,0,1944,0.05,0.475408,0.555378667,99.9997251,0.278221147,0.155592765,2628,6,2,1,6,2,1,24,2,1,160,2,4
107,0,1945,0.05,0.3754,0.722770667,99.9997251,0.366494044,0.212970148,16090,6,2,1,6,2,1,34,2,1,15,4,5
108,0,1945,0.05,0.175,0.553666667,99.9997251,0.551103393,0.314028986,103170,6,2,1,19,3,1,31,3,1,118,5,3
109,0,1945,0.05,0.175,0.505666667,99.9997251,0.278221147,0.155592765,15470,6,2,1,19,3,1,31,3,1,118,5,3
110,0,1946,0.15,0.877,0.961666667,99.9997251,0.842457167,0.486149914,35458,4,3,1,18,4,2,11,4,2,175,6,6
111,0,1946,0.05,0.175,0.505666667,99.9997251,0.403103896,0.200570288,1413,6,2,1,19,3,1,31,3,1,118,7,7
112,0,1946,0.05,0.175,0.508570667,99.9997251,0.403103896,0.200570288,3010,6,2,1,19,3,1,31,3,1,118,7,7
113,0,1946,0.05,0.175,0.521666667,99.9997251,0.403103896,0.200570288,62004,6,2,1,19,3,1,31,3,1,118,7,7
114,0,1946,0.05,0.175,0.553666667,99.9997251,0.334853345,0.173466455,92278,6,2,1,19,3,1,31,3,1,118,7,7
115,0,1946,0.05,0.3,0.555002667,99.9997251,0.403103896,0.200570288,3169,6,2,1,6,5,1,34,5,1,179,8,8
116,0,1946,0.05,0.475408,0.555378667,99.9997251,0.278221147,0.155592765,2650,6,2,1,14,2,1,10,2,1,62,9,9
117,0,1947,0.05,0.175,0.553666667,99.9997251,0.403103896,0.200570288,70625,6,2,1,19,3,1,31,3,1,227,10,7
118,0,1947,0.05,0.175,0.508570667,99.9997251,0.403103896,0.200570288,918,6,2,1,19,3,1,31,3,1,227,10,7
119,0,1947,0.05,0.3754,0.722770667,99.9997251,0.366494044,0.212970148,11141,1,2,1,6,5,1,34,5,1,123,11,10
120,0,1947,0.05,0.175,0.508570667,99.9997251,0.403103896,0.200570288,1370,6,2,1,19,3,1,31,3,1,227,10,7
121,0,1947,0.05,0.343982996,0.582764067,99.9997251,0.403103896,0.200570288,33354,1,2,1,6,5,1,34,5,1,84,11,10
122,0,1947,0.05,0.175,0.961666667,99.9997251,0.403103896,0.200570288,1684,6,2,1,19,3,1,31,3,1,227,10,7
123,0,1947,0.15,0.2746,0.721666667,99.9997251,0.403103896,0.200570288,4221,6,1,1,8,6,1,7,6,1,230,12,11
124,0,1947,0.05,0.3754,0.722770667,99.9997251,0.366494044,0.212970148,35590,1,2,1,6,5,1,34,5,1,123,11,10
125,0,1947,0.05,0.475408,0.555378667,99.9997251,0.278221147,0.155592765,643,1,1,1,14,7,1,10,7,1,62,13,9
126,0,1947,0.05,0.475408,0.555378667,99.9997251,0.278221147,0.155592765,1361,1,1,1,14,7,1,10,7,1,62,13,9
127,0,1948,0.05,0.175,0.961666667,99.9997251,0.403103896,0.200570288,160,1,2,1,19,8,1,17,8,1,182,14,12
128,0,1948,0.05,0.175,0.553666667,99.9997251,0.403103896,0.200570288,27789,1,2,1,19,8,1,17,8,1,182,14,12
129,0,1948,0.05,0.175,0.508570667,99.9997251,0.403103896,0.200570288,4239,1,2,1,19,8,1,17,8,1,182,14,12
130,0,1948,0.05,0.349491902,0.665356667,99.9997251,0.352501169,0.20387478,18229,1,2,1,1,5,1,28,5,1,223,15,13
131,0,1948,0.05,0.175,0.553666667,99.9997251,0.403103896,0.200570288,17633,1,2,1,19,8,1,17,8,1,182,14,12
132,0,1948,0.05,0.175,0.622269887,99.9997251,0.403103896,0.200570288,33619,1,2,1,19,8,1,17,8,1,182,14,12
133,0,1948,0.05,0.186248005,0.573666667,99.9997251,0.264228271,0.146497396,17273,1,2,1,19,8,1,17,8,1,182,14,12
134,0,1948,0.05,0.3,0.641666667,99.9997251,0.403103896,0.200570288,36937,1,2,1,5,5,1,28,5,1,236,16,13
135,0,1948,0.1,0.3754,0.575426667,99.9997251,0.403103896,0.200570288,4182,1,2,1,1,2,1,4,9,1,232,17,14
136,0,1948,0.05,0.3,0.505666667,99.9997251,0.320204547,0.163944736,7231,1,2,1,5,5,1,28,5,1,236,16,13
137,0,1948,0.05,0.475408,0.555378667,99.9997251,0.278221147,0.155592765,1400,1,1,1,14,7,1,10,7,1,214,13,15
138,0,1948,0.15,0.2746,0.641666667,99.9997251,0.548939117,0.076873863,3388,1,1,1,8,6,1,7,6,1,230,12,16
139,0,1948,0.05,0.475408,0.555378667,99.9997251,0.278221147,0.155592765,5456,1,1,1,14,7,1,10,7,1,214,13,15
140,0,1949,0.05,0.175,0.553666667,99.9997251,0.403103896,0.200570288,86595,1,2,1,11,8,1,17,8,1,151,18,12
141,0,1949,0.05,0.175,0.87325923,99.9997251,0.403103896,0.200570288,21737,1,2,1,11,8,1,17,8,1,151,18,12
142,0,1949,0.05,0.175,0.569666667,99.9997251,0.403103896,0.200570288,6930,1,2,1,11,8,1,17,8,1,151,18,12
143,0,1949,0.05,0.175,0.519998457,99.9997251,0.403103896,0.200570288,4349,1,2,1,11,8,1,17,8,1,151,18,12
144,0,1949,0.05,0.175,0.553666667,99.9997251,0.403103896,0.200570288,30512,1,2,1,11,8,1,17,8,1,151,18,12
145,0,1949,0.05,0.175,0.61971114,99.9997251,0.403103896,0.200570288,15468,1,2,1,11,8,1,17,8,1,151,18,12
