"ID","Acc","Dev","Cal","Paid","Outstanding","Incurred","PaidIncr"
6001,1998,1,1998,40,1108072,1108111,40
6001,1998,2,1999,312066,1361235,1673301,312026
6001,1998,3,2000,312066,819863,1131928,0
6001,1998,4,2001,312066,794227,1106293,0
6001,1998,5,2002,312066,968678,1280743,0
6001,1998,6,2003,312066,710268,1022333,0
6001,1998,7,2004,675913,1252730,1928643,363847
6001,1998,8,2005,1076809,974296,2051106,400896
6001,1998,9,2006,1076809,286891,1363701,0
6001,1998,10,2007,1076809,252332,1329142,0
6001,1998,11,2008,1076809,26419,1103228,0
6001,1998,12,2009,1076809,8112,1084922,0
6001,1998,13,2010,1076809,27615,1104424,0
6001,1998,14,2011,1076809,206,1077016,0
6001,1998,15,2012,1076809,487,1077296,0
6001,1998,16,2013,1076809,133,1076942,0
6001,1998,17,2014,1076809,0,1076810,0
6001,1998,18,2015,1076809,2,1076812,0
6001,1998,19,2016,1076809,10,1076820,0
6001,1998,20,2017,1076809,0,1076810,0
6002,1998,1,1998,1636,604931,606567,1636
6002,1998,2,1999,3348,739937,743285,1712
6002,1998,3,2000,29586,1157438,1187024,26238
6002,1998,4,2001,29586,993159,1022746,0
6002,1998,5,2002,123675,880557,1004233,94089
6002,1998,6,2003,381095,631404,1012499,257420
6002,1998,7,2004,608989,826530,1435519,227894
6002,1998,8,2005,652332,978395,1630727,43343
6002,1998,9,2006,652332,284117,936449,0
6002,1998,10,2007,652332,79440,731773,0
6002,1998,11,2008,652332,53408,705741,0
6002,1998,12,2009,758008,60246,818254,105676
6002,1998,13,2010,866251,136937,1003188,108243
6002,1998,14,2011,866251,23178,889430,0
6002,1998,15,2012,866251,1211,867463,0
6002,1998,16,2013,866251,4465,870716,0
6002,1998,17,2014,866251,262,866514,0
6002,1998,18,2015,866251,7778,874029,0
6002,1998,19,2016,866251,4,866255,0
6002,1998,20,2017,866251,0,866252,0
6003,1998,1,1998,569,718395,718964,569
6003,1998,2,1999,71762,930179,1001941,71193
6003,1998,3,2000,71762,789615,861377,0
6003,1998,4,2001,71762,590344,662105,0
6003,1998,5,2002,154927,667187,822114,83165
6003,1998,6,2003,246222,927775,1173998,91295
6003,1998,7,2004,675828,806487,1482315,429606
6003,1998,8,2005,675828,385000,1060827,0
6003,1998,9,2006,675828,332352,1008179,0
6003,1998,10,2007,675828,104678,780506,0
6003,1998,11,2008,675828,136684,812512,0
6003,1998,12,2009,675828,18402,694230,0
6003,1998,13,2010,686559,40014,726573,10731
6003,1998,14,2011,696882,4022,700904,10323
6003,1998,15,2012,713358,6833,720190,16476
6003,1998,16,2013,743093,83637,826730,29735
6003,1998,17,2014,743093,14,743107,0
6003,1998,18,2015,743093,5,743098,0
6003,1998,19,2016,743093,0,743093,0
6003,1998,20,2017,743093,8,743101,0
6004,1998,1,1998,612,1742560,1743172,612
6004,1998,2,1999,1132,1870970,1872102,520
6004,1998,3,2000,123705,1630891,1754596,122573
6004,1998,4,2001,238500,1452846,1691346,114795
6004,1998,5,2002,313770,1540979,1854749,75270
6004,1998,6,2003,501738,1256158,1757896,187968
6004,1998,7,2004,881630,1217627,2099257,379892
6004,1998,8,2005,881630,752182,1633812,0
6004,1998,9,2006,964078,774096,1738173,82448
6004,1998,10,2007,1022586,334019,1356605,58508
6004,1998,11,2008,1022586,85441,1108027,0
6004,1998,12,2009,1052741,60543,1113285,30155
6004,1998,13,2010,1052741,18696,1071438,0
6004,1998,14,2011,1052741,193,1052934,0
6004,1998,15,2012,1052741,49,1052790,0
6004,1998,16,2013,1335681,2014,1337695,282940
6004,1998,17,2014,1335681,2,1335684,0
6004,1998,18,2015,1335681,1,1335683,0
6004,1998,19,2016,1467247,741,1467987,131566
6004,1998,20,2017,1467247,47,1467294,0
6005,1998,1,1998,34,1097295,1097329,34
6005,1998,2,1999,10625,999613,1010238,10591
6005,1998,3,2000,28656,1154832,1183488,18031
6005,1998,4,2001,140493,1098136,1238629,111837
6005,1998,5,2002,245945,996173,1242118,105452
6005,1998,6,2003,245945,739655,985600,0
6005,1998,7,2004,584654,632062,1216716,338709
6005,1998,8,2005,584654,555496,1140150,0
6005,1998,9,2006,584654,336215,920869,0
6005,1998,10,2007,1097004,718329,1815334,512350
6005,1998,11,2008,1097004,30926,1127930,0
6005,1998,12,2009,1144266,289784,1434050,47262
6005,1998,13,2010,1144266,91119,1235385,0
6005,1998,14,2011,1144266,43712,1187978,0
6005,1998,15,2012,1144266,21296,1165562,0
6005,1998,16,2013,1144266,39174,1183440,0
6005,1998,17,2014,1144266,6,1144272,0
6005,1998,18,2015,1144266,0,1144266,0
6005,1998,19,2016,1144266,0,1144266,0
6005,1998,20,2017,1144266,100,1144366,0
6006,1998,1,1998,695,998154,998849,695
6006,1998,2,1999,695,951374,952069,0
6006,1998,3,2000,98681,1030554,1129235,97986
6006,1998,4,2001,98681,832980,931660,0
6006,1998,5,2002,278527,677622,956150,179846
6006,1998,6,2003,278527,660258,938785,0
6006,1998,7,2004,413298,599977,1013275,134771
6006,1998,8,2005,650884,483547,1134431,237586
6006,1998,9,2006,650884,346686,997571,0
6006,1998,10,2007,719440,478931,1198371,68556
6006,1998,11,2008,860754,226156,1086910,141314
6006,1998,12,2009,860754,5936,866690,0
6006,1998,13,2010,860754,2445,863199,0
6006,1998,14,2011,896207,140370,1036577,35453
6006,1998,15,2012,896207,651,896858,0
6006,1998,16,2013,896207,144,896350,0
6006,1998,17,2014,896207,42,896249,0
6006,1998,18,2015,896207,19,896226,0
6006,1998,19,2016,896207,54,896261,0
6006,1998,20,2017,896207,1,896208,0
6007,1998,1,1998,291,1160682,1160972,291
6007,1998,2,1999,1769,991923,993692,1478
6007,1998,3,2000,142297,1094509,1236807,140528
6007,1998,4,2001,142297,1036347,1178644,0
6007,1998,5,2002,347855,924010,1271864,205558
6007,1998,6,2003,490541,991846,1482387,142686
6007,1998,7,2004,490541,938397,1428938,0
6007,1998,8,2005,490541,525949,1016490,0
6007,1998,9,2006,666515,375038,1041553,175974
6007,1998,10,2007,821115,380348,1201463,154600
6007,1998,11,2008,821115,60850,881965,0
6007,1998,12,2009,821115,35852,856967,0
6007,1998,13,2010,821115,10947,832062,0
6007,1998,14,2011,821115,670,821785,0
6007,1998,15,2012,821115,1259,822374,0
6007,1998,16,2013,862914,1339,864252,41799
6007,1998,17,2014,941517,342,941859,78603
6007,1998,18,2015,941517,0,941517,0
6007,1998,19,2016,941517,3,941520,0
6007,1998,20,2017,941517,22,941539,0
6008,1998,1,1998,278,712749,713028,278
6008,1998,2,1999,319244,737938,1057182,318966
6008,1998,3,2000,319244,836605,1155849,0
6008,1998,4,2001,428567,846450,1275017,109323
6008,1998,5,2002,428567,870648,1299215,0
6008,1998,6,2003,428567,477629,906196,0
6008,1998,7,2004,428567,560202,988768,0
6008,1998,8,2005,428567,393660,822226,0
6008,1998,9,2006,428567,180191,608758,0
6008,1998,10,2007,718091,229431,947522,289524
6008,1998,11,2008,718091,65792,783883,0
6008,1998,12,2009,718091,17929,736020,0
6008,1998,13,2010,718091,49244,767335,0
6008,1998,14,2011,726697,27178,753875,8606
6008,1998,15,2012,726697,1811,728508,0
6008,1998,16,2013,726697,283600,1010297,0
6008,1998,17,2014,726697,82,726779,0
6008,1998,18,2015,726697,33,726730,0
6008,1998,19,2016,726697,0,726697,0
6008,1998,20,2017,726697,15,726712,0
6009,1998,1,1998,14626,876771,891397,14626
6009,1998,2,1999,14626,914323,928950,0
6009,1998,3,2000,159699,964184,1123882,145073
6009,1998,4,2001,159699,1116942,1276641,0
6009,1998,5,2002,159699,617601,777300,0
6009,1998,6,2003,185942,700267,886209,26243
6009,1998,7,2004,319452,587035,906487,133510
6009,1998,8,2005,430886,586689,1017575,111434
6009,1998,9,2006,714450,598767,1313217,283564
6009,1998,10,2007,890774,230927,1121701,176324
6009,1998,11,2008,890774,28166,918940,0
6009,1998,12,2009,890774,168870,1059644,0
6009,1998,13,2010,890774,14967,905741,0
6009,1998,14,2011,890774,2768,893542,0
6009,1998,15,2012,890774,145,890919,0
6009,1998,16,2013,890774,114301,1005075,0
6009,1998,17,2014,890774,153,890927,0
6009,1998,18,2015,890774,6269,897043,0
6009,1998,19,2016,890774,0,890774,0
6009,1998,20,2017,890774,0,890774,0
6010,1998,1,1998,1553,464361,465914,1553
6010,1998,2,1999,12413,656995,669409,10860
6010,1998,3,2000,18194,708256,726450,5781
6010,1998,4,2001,44950,1304468,1349418,26756
6010,1998,5,2002,68286,410697,478983,23336
6010,1998,6,2003,580763,614636,1195398,512477
6010,1998,7,2004,580763,647574,1228336,0
6010,1998,8,2005,580763,350206,930969,0
6010,1998,9,2006,580763,254731,835494,0
6010,1998,10,2007,580763,429176,1009939,0
6010,1998,11,2008,580763,28758,609521,0
6010,1998,12,2009,580763,23508,604271,0
6010,1998,13,2010,659225,40524,699750,78462
6010,1998,14,2011,659225,88853,748078,0
6010,1998,15,2012,659225,5244,664469,0
6010,1998,16,2013,659225,707,659932,0
6010,1998,17,2014,659225,51,659276,0
6010,1998,18,2015,659225,158,659384,0
6010,1998,19,2016,659225,0,659226,0
6010,1998,20,2017,659225,1,659227,0
6011,1998,1,1998,232,646774,647006,232
6011,1998,2,1999,507,597408,597915,275
6011,1998,3,2000,7370,622636,630006,6863
6011,1998,4,2001,161217,721667,882884,153847
6011,1998,5,2002,165413,725531,890944,4196
6011,1998,6,2003,207813,501344,709157,42400
6011,1998,7,2004,211172,381432,592604,3359
6011,1998,8,2005,391650,400103,791753,180478
6011,1998,9,2006,391650,130098,521748,0
6011,1998,10,2007,446189,109174,555362,54539
6011,1998,11,2008,446189,19263,465451,0
6011,1998,12,2009,446189,4783,450972,0
6011,1998,13,2010,541521,4272,545793,95332
6011,1998,14,2011,541521,165,541686,0
6011,1998,15,2012,617278,770,618048,75757
6011,1998,16,2013,617278,0,617278,0
6011,1998,17,2014,617278,67,617345,0
6011,1998,18,2015,761128,11230,772358,143850
6011,1998,19,2016,761128,5,761134,0
6011,1998,20,2017,761128,2,761130,0
6012,1998,1,1998,117,1296478,1296595,117
6012,1998,2,1999,253405,1290217,1543622,253288
6012,1998,3,2000,253405,1213762,1467167,0
6012,1998,4,2001,253405,1159254,1412660,0
6012,1998,5,2002,253405,1231394,1484799,0
6012,1998,6,2003,541414,1121271,1662685,288009
6012,1998,7,2004,541414,575471,1116885,0
6012,1998,8,2005,702311,851372,1553684,160897
6012,1998,9,2006,722263,351660,1073924,19952
6012,1998,10,2007,1008209,412578,1420787,285946
6012,1998,11,2008,1008209,59613,1067822,0
6012,1998,12,2009,1283841,277357,1561197,275632
6012,1998,13,2010,1283841,21878,1305719,0
6012,1998,14,2011,1283841,6113,1289954,0
6012,1998,15,2012,1283841,197298,1481139,0
6012,1998,16,2013,1283841,8096,1291937,0
6012,1998,17,2014,1283841,233,1284074,0
6012,1998,18,2015,1283841,33,1283874,0
6012,1998,19,2016,1283841,0,1283841,0
6012,1998,20,2017,1283841,0,1283841,0
6013,1998,1,1998,5441,1377669,1383110,5441
6013,1998,2,1999,5441,984857,990298,0
6013,1998,3,2000,99371,930163,1029533,93930
6013,1998,4,2001,99371,828414,927785,0
6013,1998,5,2002,301536,1083936,1385472,202165
6013,1998,6,2003,301536,507923,809459,0
6013,1998,7,2004,353488,608677,962164,51952
6013,1998,8,2005,523922,503815,1027736,170434
6013,1998,9,2006,722700,436884,1159584,198778
6013,1998,10,2007,722700,172941,895641,0
6013,1998,11,2008,722700,47744,770444,0
6013,1998,12,2009,964825,111914,1076739,242125
6013,1998,13,2010,964825,5151,969975,0
6013,1998,14,2011,964825,4200,969025,0
6013,1998,15,2012,965604,69146,1034751,779
6013,1998,16,2013,965604,29,965633,0
6013,1998,17,2014,965604,248,965852,0
6013,1998,18,2015,965604,73,965677,0
6013,1998,19,2016,965604,322,965927,0
6013,1998,20,2017,965604,8,965612,0
6014,1998,1,1998,27724,921629,949354,27724
6014,1998,2,1999,27724,892501,920225,0
6014,1998,3,2000,27724,1015833,1043557,0
6014,1998,4,2001,148817,1016595,1165412,121093
6014,1998,5,2002,228031,829690,1057721,79214
6014,1998,6,2003,228031,621173,849204,0
6014,1998,7,2004,392089,599738,991826,164058
6014,1998,8,2005,490079,452039,942118,97990
6014,1998,9,2006,697831,838429,1536261,207752
6014,1998,10,2007,697831,120225,818056,0
6014,1998,11,2008,697831,78155,775987,0
6014,1998,12,2009,697831,18888,716719,0
6014,1998,13,2010,796296,25318,821615,98465
6014,1998,14,2011,867599,17751,885350,71303
6014,1998,15,2012,894820,4294,899113,27221
6014,1998,16,2013,943502,1571,945073,48682
6014,1998,17,2014,943502,134,943636,0
6014,1998,18,2015,943502,76,943578,0
6014,1998,19,2016,943502,12,943514,0
6014,1998,20,2017,943502,15,943517,0
6015,1998,1,1998,9299,828634,837934,9299
6015,1998,2,1999,11242,894754,905996,1943
6015,1998,3,2000,11242,1054642,1065884,0
6015,1998,4,2001,47445,889078,936523,36203
6015,1998,5,2002,225539,717187,942726,178094
6015,1998,6,2003,234657,701122,935779,9118
6015,1998,7,2004,241236,500559,741795,6579
6015,1998,8,2005,466140,418965,885105,224904
6015,1998,9,2006,466140,193541,659682,0
6015,1998,10,2007,783361,460019,1243380,317221
6015,1998,11,2008,783361,39060,822421,0
6015,1998,12,2009,783361,47512,830873,0
6015,1998,13,2010,783361,27099,810460,0
6015,1998,14,2011,783361,315,783675,0
6015,1998,15,2012,783361,19592,802952,0
6015,1998,16,2013,783361,405,783765,0
6015,1998,17,2014,783361,174,783534,0
6015,1998,18,2015,783361,1,783362,0
6015,1998,19,2016,783361,1,783361,0
6015,1998,20,2017,783361,2,783362,0
6016,1998,1,1998,16756,907257,924013,16756
6016,1998,2,1999,68370,1618582,1686952,51614
6016,1998,3,2000,68370,1477567,1545937,0
6016,1998,4,2001,114384,1084805,1199189,46014
6016,1998,5,2002,528245,1062677,1590922,413861
6016,1998,6,2003,528245,1041897,1570142,0
6016,1998,7,2004,628946,875166,1504113,100701
6016,1998,8,2005,628946,673805,1302751,0
6016,1998,9,2006,715722,383586,1099308,86776
6016,1998,10,2007,715722,101557,817278,0
6016,1998,11,2008,810670,61831,872501,94948
6016,1998,12,2009,1074696,539377,1614073,264026
6016,1998,13,2010,1074696,18876,1093573,0
6016,1998,14,2011,1074696,12015,1086711,0
6016,1998,15,2012,1074696,4703,1079399,0
6016,1998,16,2013,1074696,1158,1075854,0
6016,1998,17,2014,1074696,453,1075150,0
6016,1998,18,2015,1074696,6,1074703,0
6016,1998,19,2016,1074696,6,1074702,0
6016,1998,20,2017,1074696,336,1075032,0
6017,1998,1,1998,6186,1361523,1367710,6186
6017,1998,2,1999,6186,837398,843584,0
6017,1998,3,2000,19296,786642,805938,13110
6017,1998,4,2001,58814,941525,1000339,39518
6017,1998,5,2002,474848,1125603,1600451,416034
6017,1998,6,2003,480513,1047165,1527677,5665
6017,1998,7,2004,480513,460150,940663,0
6017,1998,8,2005,573136,629531,1202667,92623
6017,1998,9,2006,573136,393714,966849,0
